카페ID,카페이름,방문자리뷰,블로그리뷰,주소
1771016332,본지르르 성수,19,65,"서울 성동구 광나루로4가길 13 B1, 1, 2층"
742676592,마를리,3446,1942,서울 성동구 연무장길 47 홍원빌딩
1517487358,아쿠아산타 성수카페,1269,547,서울 성동구 연무장길 81 1층 107호
1240372795,서울앵무새,5007,547,서울 성동구 서울숲9길 3 B1~2F
1455299135,크림라벨 서울숲 본점,1092,325,서울 성동구 서울숲2길 34 1층
1030871168,쎈느Scene,1981,325,서울 성동구 연무장5길 20 1F Scène
1425989301,카페 할아버지공장,4969,2262,서울 성동구 성수이로7가길 9
1128626529,스트로베리32 성수점,2077,404,서울 성동구 왕십리로10길 9-31 3층
1694234920,퍼먼트,1240,837,"서울 성동구 서울숲2길 37 1층 , 지하"
1523663774,성수 베이킹 스튜디오,2599,837,서울 성동구 서울숲2길 46 B1층
38561949,어니언 성수,4397,837,서울 성동구 아차산로9길 8 어니언
37717085,밀도 성수점,6459,837,서울 성동구 왕십리로 96
1935471901,LOOOP 루프 베이커리 카페,1247,837,서울 성동구 연무장5길 9-13 1층
1136906451,피넛버터바나나,1282,286,"서울 성동구 아차산로7길 15-8 1층,2층"
1251057335,비아트 성수,464,424,서울 성동구 아차산로5길 24-45 2층
343496704,체다앤올리,1442,424,서울 성동구 서울숲2길 32-14 갤러리아포레 상가 102동 113호
1394826865,실버리,132,23,서울 성동구 서울숲4길 26 2층
1409603517,묘사서울,587,23,서울 성동구 서울숲2길 2 2층
1966521856,라프레플루트,646,539,서울 성동구 서울숲2길 8-8 2층
1691420621,누데이크 성수,1582,1067,서울 성동구 성수이로7길 26 1층
1687687205,LOWIDE 서울숲,3113,1536,서울 성동구 서울숲2길 22-1
1038370038,맥파이앤타이거 성수티룸,264,298,서울 성동구 성수이로 97 5층
1723681649,브라우터,160,297,서울 성동구 왕십리로14길 28-21 지상 1~4층
1543901744,코끼리베이글 성수,2988,1609,서울 성동구 성수이로26길 17 (성수동2가) 1층
1829908685,러프러프,695,834,서울 성동구 연무장길 81 401호
1343777269,레인리포트 크루아상,445,576,"서울 성동구 성수이로16길 32 주3 1, 2층"
1423662826,뵈르뵈르,115,435,서울 성동구 연무장7길 8
1712521730,구욱희씨 서울숲 본점,1719,435,"서울 성동구 서울숲4길 12-22 1, 2층"
1725895520,블루보틀 성수 카페,17597,3872,서울 성동구 아차산로 7 케이티링커스
1355804064,커피냅로스터스 성수,16,20,서울 성동구 성수일로4길 35-11 커피냅로스터스 성수
1700801654,봉땅 서울숲점,332,327,서울 성동구 서울숲6길 16-1 1층 봉땅
1508243090,5to7,1561,327,서울 성동구 서울숲2길 44-13 1층
1030413970,플디 성수점,826,327,서울 성동구 상원길 44 2층
1962021779,꼬모윤 서울숲점,174,123,서울 성동구 서울숲길 50 1층
1092567422,텅 성수 스페이스,2074,123,서울 성동구 성수이로 82 2층
1789793457,뉴앳던 성수,746,428,서울 성동구 왕십리로5길 9-20 4층
1537971823,에이투비 Cafe&Bar,832,428,서울 성동구 아차산로 135 2층
1988832741,발렁스,506,428,서울 성동구 성수일로4길 49 1층 발렁스
37191703,치카성수,521,734,서울 성동구 뚝섬로1가길 14 1층
1886226302,디플랫 성수,346,602,서울 성동구 연무장길 90 1층
1155970418,목로정원,284,602,서울 성동구 서울숲2길 47 3층
1239997161,테디스오븐,1230,1901,서울 성동구 서울숲2길 43 (성수동1 가) 1층
1399503871,프롤라,580,1206,서울 성동구 연무장17길 5 1층
1780640722,페로몬,48,69,서울 성동구 상원2길 5 3층
1698816534,마일스톤 커피 성수점,217,270,서울 성동구 서울숲4길 15 1층
1873977601,얼스케이크베이크샵,201,381,서울 성동구 상원6나길 7 1층
1839018422,투데이즈 위켄드,85,123,서울 성동구 왕십리로5길 14-1 1층
1965277191,테니,1105,674,서울 성동구 뚝섬로17가길 55 1층
1802728761,씨장,344,521,서울 성동구 성덕정길 92 1층
1216172292,오우드 성수2호점,385,303,서울 성동구 성수이로24길 36 2층
1395030685,옹근달,5980,1574,서울 성동구 성수이로7길 41-1
1675458615,타임애프터타임,476,1574,서울 성동구 연무장길 28-16 1-2층
1321337563,하프커피 성수,1927,1574,서울 성동구 서울숲4길 12 지하1층
523890342,센터커피 서울숲점,2394,1574,서울 성동구 서울숲2길 28-11
55585656,카멜커피 성수점,1300,1574,서울 성동구 성덕정19길 6 1층
1344027015,어라운드데이,696,869,서울 성동구 서울숲2길 24-1 어라운드데이
1679703260,스타벅스 성수점,2342,79,서울 성동구 아차산로 104
319626943,오우도,958,79,서울 성동구 성수일로 55 106호
1734273361,에르제 성수,2349,1095,서울 성동구 아차산로 135 1층
1115306852,까치화방 성수낙낙점,978,1095,"서울 성동구 아차산로17길 48 1층 R114호, 115호"
1228254752,오로라베이커리카페 성수점,2148,897,서울 성동구 아차산로 126 1층 101호~103호
1259420360,업사이드커피,751,897,서울 성동구 연무장13길 3
1613470297,브루잉 세레모니,404,897,서울 성동구 연무장5가길 22-1 1층
1656010116,바이닐 성수,76,304,서울 성동구 아차산로 15-8 2층
1526798269,뺑드에코,994,384,서울 성동구 연무장길 44 2층
1925823702,퍼프아웃,224,150,서울 성동구 연무장길 84 1층
1397949769,소프트바,312,364,서울 성동구 연무장길 54 1층
1289885337,더반 베를린 성수점,543,416,서울 성동구 뚝섬로17길 31-22 더반 베를린 코리아 성수
